date2,precip_mm_TW,precip_mm_FR_H,precip_mm_FR_B,daylight_hr,,
1/1/2000 12:00,NA,NA,NA,9.616666667,,
1/2/2000 12:00,NA,NA,NA,9.633333333,,
1/3/2000 12:00,NA,NA,NA,9.65,,
1/4/2000 12:00,NA,NA,NA,9.666666667,,
1/5/2000 12:00,NA,NA,NA,9.683333333,,
1/6/2000 12:00,NA,NA,NA,9.683333333,,
1/7/2000 12:00,NA,NA,NA,9.7,,
1/8/2000 12:00,NA,NA,NA,9.716666667,,
1/9/2000 12:00,NA,NA,NA,9.733333333,,
1/10/2000 12:00,NA,NA,NA,9.766666667,,
1/11/2000 12:00,NA,NA,NA,9.783333333,,
1/12/2000 12:00,NA,NA,NA,9.8,,
1/13/2000 12:00,NA,NA,NA,9.816666667,,
1/14/2000 12:00,NA,NA,NA,9.833333333,,
1/15/2000 12:00,NA,NA,NA,9.866666667,,
1/16/2000 12:00,NA,NA,NA,9.883333333,,
1/17/2000 12:00,NA,NA,NA,9.916666667,,
1/18/2000 12:00,NA,NA,NA,9.933333333,,
1/19/2000 12:00,NA,NA,NA,9.966666667,,
1/20/2000 12:00,NA,NA,NA,9.983333333,,
1/21/2000 12:00,NA,NA,NA,10.01666667,,
1/22/2000 12:00,NA,NA,NA,10.03333333,,
1/23/2000 12:00,NA,NA,NA,10.06666667,,
1/24/2000 12:00,NA,NA,NA,10.1,,
1/25/2000 12:00,NA,NA,NA,10.11666667,,
1/26/2000 12:00,NA,NA,NA,10.15,,
1/27/2000 12:00,NA,NA,NA,10.18333333,,
1/28/2000 12:00,NA,NA,NA,10.21666667,,
1/29/2000 12:00,NA,NA,NA,10.25,,
1/30/2000 12:00,NA,NA,NA,10.28333333,,
1/31/2000 12:00,NA,NA,NA,10.31666667,,
2/1/2000 12:00,NA,NA,NA,10.35,,
2/2/2000 12:00,NA,NA,NA,10.36666667,,
2/3/2000 12:00,NA,NA,NA,10.4,,
2/4/2000 12:00,NA,NA,NA,10.45,,
2/5/2000 12:00,NA,NA,NA,10.48333333,,
2/6/2000 12:00,NA,NA,NA,10.51666667,,
2/7/2000 12:00,NA,NA,NA,10.55,,
2/8/2000 12:00,NA,NA,NA,10.58333333,,
2/9/2000 12:00,NA,NA,NA,10.61666667,,
2/10/2000 12:00,NA,NA,NA,10.65,,
2/11/2000 12:00,NA,NA,NA,10.68333333,,
2/12/2000 12:00,NA,NA,NA,10.71666667,,
2/13/2000 12:00,NA,NA,NA,10.76666667,,
