,roundTime,rawDate,state,approx_state
1,11/24/2003 16:45,11/24/2003 16:50,1,1
2,11/24/2003 17:00,NA,NA,1
3,11/24/2003 17:15,NA,NA,1
4,11/24/2003 17:30,NA,NA,1
5,11/24/2003 17:45,NA,NA,1
6,11/24/2003 18:00,NA,NA,1
7,11/24/2003 18:15,NA,NA,1
8,11/24/2003 18:30,NA,NA,1
9,11/24/2003 18:45,NA,NA,1
10,11/24/2003 19:00,NA,NA,1
11,11/24/2003 19:15,NA,NA,1
12,11/24/2003 19:30,NA,NA,1
13,11/24/2003 19:45,NA,NA,1
14,11/24/2003 20:00,NA,NA,1
15,11/24/2003 20:15,NA,NA,1
16,11/24/2003 20:30,NA,NA,1
17,11/24/2003 20:45,NA,NA,1
18,11/24/2003 21:00,NA,NA,1
19,11/24/2003 21:15,NA,NA,1
20,11/24/2003 21:30,NA,NA,1
21,11/24/2003 21:45,NA,NA,1
22,11/24/2003 22:00,NA,NA,1
23,11/24/2003 22:15,NA,NA,1
24,11/24/2003 22:30,NA,NA,1
25,11/24/2003 22:45,NA,NA,1
26,11/24/2003 23:00,NA,NA,1
27,11/24/2003 23:15,NA,NA,1
28,11/24/2003 23:30,NA,NA,1
29,11/24/2003 23:45,NA,NA,1
30,11/25/2003 0:00,NA,NA,1
31,11/25/2003 0:15,NA,NA,1
32,11/25/2003 0:30,NA,NA,1
33,11/25/2003 0:45,NA,NA,1
34,11/25/2003 1:00,NA,NA,1
35,11/25/2003 1:15,NA,NA,1
36,11/25/2003 1:30,NA,NA,1
37,11/25/2003 1:45,NA,NA,1
38,11/25/2003 2:00,NA,NA,1
39,11/25/2003 2:15,NA,NA,1
40,11/25/2003 2:30,NA,NA,1
41,11/25/2003 2:45,NA,NA,1
42,11/25/2003 3:00,NA,NA,1
43,11/25/2003 3:15,NA,NA,1
44,11/25/2003 3:30,NA,NA,1
45,11/25/2003 3:45,NA,NA,1
46,11/25/2003 4:00,NA,NA,1
47,11/25/2003 4:15,NA,NA,1
48,11/25/2003 4:30,NA,NA,1
49,11/25/2003 4:45,NA,NA,1
50,11/25/2003 5:00,NA,NA,1
51,11/25/2003 5:15,NA,NA,1
52,11/25/2003 5:30,NA,NA,1
53,11/25/2003 5:45,NA,NA,1
54,11/25/2003 6:00,NA,NA,1
55,11/25/2003 6:15,NA,NA,1
56,11/25/2003 6:30,NA,NA,1
57,11/25/2003 6:45,NA,NA,1
58,11/25/2003 7:00,NA,NA,1
59,11/25/2003 7:15,NA,NA,1
60,11/25/2003 7:30,NA,NA,1
61,11/25/2003 7:45,NA,NA,1
62,11/25/2003 8:00,NA,NA,1
63,11/25/2003 8:15,NA,NA,1
64,11/25/2003 8:30,NA,NA,1
65,11/25/2003 8:45,NA,NA,1
66,11/25/2003 9:00,NA,NA,1
67,11/25/2003 9:15,NA,NA,1
68,11/25/2003 9:30,NA,NA,1
69,11/25/2003 9:45,NA,NA,1
70,11/25/2003 10:00,NA,NA,1
71,11/25/2003 10:15,NA,NA,1
72,11/25/2003 10:30,NA,NA,1
73,11/25/2003 10:45,NA,NA,1
74,11/25/2003 11:00,NA,NA,1
75,11/25/2003 11:15,NA,NA,1
76,11/25/2003 11:30,NA,NA,1
77,11/25/2003 11:45,NA,NA,1
78,11/25/2003 12:00,NA,NA,1
79,11/25/2003 12:15,NA,NA,1
80,11/25/2003 12:30,NA,NA,1
81,11/25/2003 12:45,NA,NA,1
82,11/25/2003 13:00,NA,NA,1
83,11/25/2003 13:15,NA,NA,1
84,11/25/2003 13:30,NA,NA,1
85,11/25/2003 13:45,NA,NA,1
86,11/25/2003 14:00,NA,NA,1
87,11/25/2003 14:15,NA,NA,1
88,11/25/2003 14:30,NA,NA,1
89,11/25/2003 14:45,NA,NA,1
90,11/25/2003 15:00,NA,NA,1
91,11/25/2003 15:15,NA,NA,1
92,11/25/2003 15:30,NA,NA,1
93,11/25/2003 15:45,NA,NA,1
94,11/25/2003 16:00,NA,NA,1
95,11/25/2003 16:15,NA,NA,1
96,11/25/2003 16:30,NA,NA,1
97,11/25/2003 16:45,NA,NA,1
98,11/25/2003 17:00,NA,NA,1
99,11/25/2003 17:15,NA,NA,1
100,11/25/2003 17:30,NA,NA,1
101,11/25/2003 17:45,NA,NA,1
102,11/25/2003 18:00,NA,NA,1
103,11/25/2003 18:15,NA,NA,1
104,11/25/2003 18:30,NA,NA,1
105,11/25/2003 18:45,NA,NA,1
106,11/25/2003 19:00,NA,NA,1
107,11/25/2003 19:15,NA,NA,1
108,11/25/2003 19:30,NA,NA,1
109,11/25/2003 19:45,NA,NA,1
110,11/25/2003 20:00,NA,NA,1
111,11/25/2003 20:15,NA,NA,1
112,11/25/2003 20:30,NA,NA,1
113,11/25/2003 20:45,NA,NA,1
114,11/25/2003 21:00,NA,NA,1
115,11/25/2003 21:15,NA,NA,1
116,11/25/2003 21:30,NA,NA,1
117,11/25/2003 21:45,NA,NA,1
118,11/25/2003 22:00,NA,NA,1
119,11/25/2003 22:15,NA,NA,1
120,11/25/2003 22:30,NA,NA,1
121,11/25/2003 22:45,NA,NA,1
122,11/25/2003 23:00,NA,NA,1
123,11/25/2003 23:15,NA,NA,1
124,11/25/2003 23:30,NA,NA,1
125,11/25/2003 23:45,NA,NA,1
126,11/26/2003 0:00,NA,NA,1
127,11/26/2003 0:15,NA,NA,1
128,11/26/2003 0:30,NA,NA,1
129,11/26/2003 0:45,NA,NA,1
130,11/26/2003 1:00,NA,NA,1
131,11/26/2003 1:15,NA,NA,1
132,11/26/2003 1:30,NA,NA,1
133,11/26/2003 1:45,NA,NA,1
134,11/26/2003 2:00,NA,NA,1
135,11/26/2003 2:15,NA,NA,1
136,11/26/2003 2:30,NA,NA,1
137,11/26/2003 2:45,NA,NA,1
138,11/26/2003 3:00,NA,NA,1
139,11/26/2003 3:15,NA,NA,1
140,11/26/2003 3:30,NA,NA,1
141,11/26/2003 3:45,NA,NA,1
142,11/26/2003 4:00,NA,NA,1
143,11/26/2003 4:15,NA,NA,1
144,11/26/2003 4:30,NA,NA,1
145,11/26/2003 4:45,NA,NA,1
146,11/26/2003 5:00,NA,NA,1
147,11/26/2003 5:15,NA,NA,1
148,11/26/2003 5:30,NA,NA,1
149,11/26/2003 5:45,NA,NA,1
150,11/26/2003 6:00,NA,NA,1
151,11/26/2003 6:15,NA,NA,1
152,11/26/2003 6:30,NA,NA,1
153,11/26/2003 6:45,NA,NA,1
154,11/26/2003 7:00,NA,NA,1
155,11/26/2003 7:15,NA,NA,1
156,11/26/2003 7:30,NA,NA,1
157,11/26/2003 7:45,NA,NA,1
158,11/26/2003 8:00,NA,NA,1
159,11/26/2003 8:15,NA,NA,1
160,11/26/2003 8:30,NA,NA,1
161,11/26/2003 8:45,NA,NA,1
162,11/26/2003 9:00,NA,NA,1
163,11/26/2003 9:15,NA,NA,1
164,11/26/2003 9:30,NA,NA,1
165,11/26/2003 9:45,NA,NA,1
166,11/26/2003 10:00,NA,NA,1
167,11/26/2003 10:15,NA,NA,1
168,11/26/2003 10:30,NA,NA,1
169,11/26/2003 10:45,NA,NA,1
170,11/26/2003 11:00,NA,NA,1
171,11/26/2003 11:15,NA,NA,1
172,11/26/2003 11:30,NA,NA,1
173,11/26/2003 11:45,NA,NA,1
174,11/26/2003 12:00,NA,NA,1
175,11/26/2003 12:15,NA,NA,1
176,11/26/2003 12:30,NA,NA,1
177,11/26/2003 12:45,NA,NA,1
178,11/26/2003 13:00,NA,NA,1
179,11/26/2003 13:15,NA,NA,1
180,11/26/2003 13:30,NA,NA,1
181,11/26/2003 13:45,NA,NA,1
182,11/26/2003 14:00,NA,NA,1
183,11/26/2003 14:15,NA,NA,1
184,11/26/2003 14:30,NA,NA,1
185,11/26/2003 14:45,NA,NA,1
186,11/26/2003 15:00,NA,NA,1
